area_name,area_code,region_name,country_name,named_site_count,unnamed_site_count,people_housed_reported,date_last_public,source_title,source_url,notes
Epping Forest,E07000072,East of England,England,2,0,,2025-07-30,Joint open letter on Bell Hotel and Phoenix Hotel,https://www.eppingforestdc.gov.uk/news/joint-open-letter-bell-hotel-and-phoenix-hotel/,Current named-site evidence.
Wakefield,E08000036,Yorkshire and The Humber,England,1,0,,2025-08-20,Wakefield statement on contingency asylum accommodation,https://www.wakefield.gov.uk/council-information/news/the-home-office-has-confirmed-that-it-will-be-using-a-hotel-in-wakefield-district-as-contingency-asylum-accommodation/,Named site publicly confirmed.
Spelthorne,E07000213,South East,England,1,0,,2025-10-30,Spelthorne statement on Stanwell asylum hotel,https://www.spelthorne.gov.uk/article/39191/Spelthorne-calls-for-constructive-action-not-politics-to-support-Stanwell-asylum-hotel,Named site publicly confirmed.
West Northamptonshire,E06000062,East Midlands,England,3,0,,2025-11-17,West Northamptonshire Council comments on the use of hotels to house asylum seekers,https://www.westnorthants.gov.uk/news/west-northamptonshire-council-comments-on-the-use-of-hotels-to-house-asylum-seekers,"Official council statement names ibis Rugby East in Crick, Holiday Inn in Flore, and M K Hotel in Deanshanger."
East Lindsey,,East Midlands,England,0,1,,2025-08-20,East Lindsey statement on hotel use for asylum contingency accommodation,https://www.e-lindsey.gov.uk/article/27439/Response-to-Home-Office-announcement-that-it-will-use-a-hotel-in-the-district-for-asylum-contingency-accommodation,Public hotel count without names.
Perth and Kinross,S12000048,Scotland,Scotland,0,2,191,2025-08-14,Public reporting on Perth and Kinross hotels and asylum seekers,https://www.dailyrecord.co.uk/news/scottish-news/almost-200-asylum-seekers-being-35656075,Public count and occupancy report without named sites.
